year,Country,Overall Scores,Safety and Security,Ongoing Conflict,Militarian,Condition
2019,Afghanistan,3.538,4.134,3.636,2.41,BAHAYA
2019,Yemen,3.34,3.659,3.603,2.445,BAHAYA
2019,Syria,3.298,3.527,3.828,2.216,BAHAYA
2019,South Sudan,3.272,3.864,3.099,2.476,BAHAYA
2019,Iraq,3.18,3.722,3.201,2.325,BAHAYA
2019,Central African Republic,3.084,3.673,2.965,2.248,BAHAYA
2019,Democratic Republic of the Congo,3.081,3.614,3.264,1.994,BAHAYA
2019,Russia,3.043,3.059,2.885,3.237,BAHAYA
2019,Somalia,3.005,3.428,3.016,2.26,BAHAYA
2019,Libya,2.959,3.24,3.122,2.347,WASPADA
2019,North Korea,2.865,2.968,2.61,3.057,WASPADA
2019,Pakistan,2.799,2.726,3.146,2.543,WASPADA
2019,Sudan,2.777,3.119,2.893,2.053,WASPADA
2019,Ukraine,2.752,2.953,3.021,2.065,WASPADA
2019,Turkiye,2.736,2.932,3.088,1.928,WASPADA
2019,Venezuela,2.734,3.678,2.24,1.817,WASPADA
2019,Nigeria,2.716,3.062,2.863,2.026,WASPADA
2019,Lebanon,2.673,2.799,2.83,2.3,WASPADA
2019,Colombia,2.672,3.535,2.043,1.999,WASPADA
2019,Israel,2.672,2.345,2.315,3.836,WASPADA
2019,Cameroon,2.569,2.868,2.69,1.922,WASPADA
2019,Eritrea,2.548,3.416,1.747,1.969,WASPADA
2019,Mali,2.53,3.125,2.307,1.872,WASPADA
2019,Iran,2.525,2.763,2.718,1.858,WASPADA
2019,Burundi,2.509,3.174,2.376,1.525,WASPADA
2019,Chad,2.506,2.781,2.508,2.104,WASPADA
2019,Mexico,2.46,3.229,2.072,1.723,WASPADA
2019,Brazil,2.449,3.212,1.764,2.135,WASPADA
2019,South Africa,2.442,3.285,1.824,1.838,WASPADA
2019,Ethiopia,2.439,2.81,2.487,1.777,WASPADA
2019,India,2.418,2.266,2.563,2.565,WASPADA
2019,Palestine,2.418,2.653,2.435,1.991,WASPADA
2019,Philippines,2.407,2.91,2.384,1.666,WASPADA
2019,Saudi Arabia,2.405,2.225,2.568,2.599,WASPADA
2019,United States of America,2.395,2.227,2.094,3.104,WASPADA
2019,Egypt,2.381,2.536,2.505,1.994,WASPADA
2019,Niger,2.322,2.588,2.459,1.74,WASPADA
